date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
1920-09-26,1920,0,0,RII,STP,1503.947,1300.0,0.8246512009492516,48,0,1
1920-10-03,1920,0,0,AKR,WHE,1503.42,1300.0,0.8242120973373386,43,0,1
1920-10-03,1920,0,0,RCH,ABU,1503.42,1300.0,0.8242120973373386,10,0,1
1920-10-03,1920,0,0,DAY,COL,1493.002,1504.908,0.5758191240920725,14,0,1
1920-10-03,1920,0,0,RII,MUN,1516.108,1478.004,0.6441710901126361,45,0,1
1920-10-03,1920,0,0,CHI,MUT,1368.333,1300.0,0.6829855714913705,20,0,1
1920-10-03,1920,0,0,CBD,PTQ,1504.688,1300.0,0.8252671507782987,48,0,1
1920-10-03,1920,0,0,BFF,WBU,1478.004,1300.0,0.8020003005487033,32,6,1
1920-10-10,1920,0,0,CBD,TLM,1516.803,1300.0,0.8350967251138723,42,0,1
1920-10-10,1920,0,0,BFF,ABU,1489.757,1292.486,0.8190246337513903,51,0,1
1920-10-10,1920,0,0,DHR,CLP,1499.667,1300.0,0.8210600128920061,40,14,1
1920-10-10,1920,0,0,AKR,COL,1515.278,1482.475,0.6371462416975575,37,0,1
1920-10-10,1920,0,0,CHT,ARI,1300.0,1493.002,0.32369581012897025,0,0,0.5
1920-10-10,1920,0,0,DAY,CTI,1515.434,1464.506,0.6609062119549988,0,0,0.5
1920-10-10,1920,0,0,RCH,FTP,1510.934,1300.0,0.8303914086394528,66,0,1
1920-10-10,1920,0,0,RII,HAM,1542.135,1444.259,0.7186125156699114,26,0,1
1920-10-10,1920,0,0,CHI,KEW,1386.533,1300.0,0.7052228213582555,25,7,1
1920-10-17,1920,0,0,ARI,MUT,1487.625,1281.8,0.8262089539380489,33,3,1
1920-10-17,1920,0,0,RII,CHI,1559.405,1402.774,0.7817358026736219,0,7,0
1920-10-17,1920,0,0,RCH,UTI,1523.607,1300.0,0.8404198708258926,0,0,0.5
1920-10-17,1920,0,0,CBD,CTI,1527.799,1469.414,0.6704588627828753,7,0,1
1920-10-17,1920,0,0,AKR,CNC,1540.552,1300.0,0.8530716765977777,13,0,1
1920-10-17,1920,0,0,FTW,COL,1300.0,1457.2,0.3703429439183118,14,0,1
1920-10-17,1920,0,0,CHT,DHR,1305.377,1510.196,0.3089862674970486,12,0,1
1920-10-17,1920,0,0,DAY,HAM,1510.527,1426.99,0.7016249406064283,44,0,1
1920-10-17,1920,0,0,BFF,MCK,1502.536,1300.0,0.8234735946274689,28,7,1
